ms num	title [nt.= no title]	tibetan script	extent	ms/xyl	lang/script	dimension	subject - 1	subject - 2
294	Khros ma rigs lnga'i las byang dang / gcod kyi bka' srung gi gtor bsngo bcas bzhugs so	ཁྲོས་མ་རིགས་ལྔའི་ལས་བྱང་དང་།   གཅོད་ཀྱི་བཀའ་སྲུང་གི་གཏོར་བསྔོ་བཅས་བཞུགས་སོ།	15 ff	xyl	bo-Latn-x-EWTS	34 x 9	Ritual.	Buddhism--Rituals--Texts.
295	 'Phags pa spyan ras gzigs kyi sgo nas mig gi nyes skyon sel ba'i gdams pa zug rngu tsha gdung sel ba'i zla zer zhes bya ba bzhugso	འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱི་སྒོ་ནས་མིག་གི་ཉེས་སྐྱོན་སེལ་བའི་གདམས་པ་ཟུག་རྔུ་ཚ་གདུང་སེལ་བའི་ཟླ་ཟེར་ཞེས་བྱ་བ་བཞུགསོ།	4 ff	xyl	bo-Latn-x-EWTS	26 x 9	Prayers.	Buddhism--Prayers and devotions.
296	Gnam chos zhing sgrub smon lam bcas bzhugs so	གནམ་ཆོས་ཞིང་སྒྲུབ་སྨོན་ལམ་བཅས་བཞུགས་སོ།	7 ff	xyl	bo-Latn-x-EWTS	28 x 9	Prayers.	Buddhism--Prayers and devotions.
297	Gser 'od g.yangs skyab zhes bya ba bzhugs so	གསེར་འོད་གཡངས་སྐྱབ་ཞེས་བྱ་བ་བཞུགས་སོ།	28 ff folded, sewn	xyl	bo-Latn-x-EWTS	27 x 8	Rnying-ma-pa (Sect)--Doctrines.	Buddhism--Doctrines.
298	Bal yul mchod rten rnams gsum dang gzhan gnas thams cad kyi gnas yig	བལ་ཡུལ་མཆོད་རྟེན་རྣམས་གསུམ་དང་གཞན་གནས་ཐམས་ཅད་ཀྱི་གནས་ཡིག	1 sheet folded	xyl	bo-Latn-x-EWTS	60 x 26	Pilgrimage guides.	
299	Sangs rgyas kyi blung bsten nam mkha' nas 'babs pa zhugs so	སངས་རྒྱས་ཀྱི་བླུང་བསྟེན་ནམ་མཁའ་ནས་འབབས་པ་ཞུགས་སོ།	12 ff	ms	bo-Latn-x-EWTS	30 x 11	Rnying-ma-pa (Sect)--Doctrines.	Buddhism--Doctrines.
300	Gcod lug phun sum tshogs pa'i me mchod bltas chog tu bkod pa bzhugso	གཅོད་ལུག་ཕུན་སུམ་ཚོགས་པའི་མེ་མཆོད་བལྟས་ཆོག་ཏུ་བཀོད་པ་བཞུགསོ།	31 ff	ms	bo-Latn-x-EWTS	35 x 11	Ritual.	Buddhism--Rituals--Texts.
301	Rta gzungs sde lnga cha tshang bzhugs so	རྟ་གཟུངས་སྡེ་ལྔ་ཆ་ཚང་བཞུགས་སོ།	10 ff folded	xyl	bo-Latn-x-EWTS	26 x 8	Ritual.	Buddhism--Rituals--Texts.
302	Srid zhi'i gtsug nor gong sa skyabs mgon rgyal dbang thams cad mkhyen gzigs chen po mchog bstan 'gro'i mgon du zhabs zung brtan cing / rlabs chen bzhed don lhun 'grub ched mchog gsum rgya mtsho'i rje bskul ba'i gsol 'debs 'chi med grub pa'i dbyangs snyan zhes bya ba bzhugso	སྲིད་ཞིའི་གཙུག་ནོར་གོང་ས་སྐྱབས་མགོན་རྒྱལ་དབང་ཐམས་ཅད་མཁྱེན་གཟིགས་ཆེན་པོ་མཆོག་བསྟན་འགྲོའི་མགོན་དུ་ཞབས་ཟུང་བརྟན་ཅིང་།   རླབས་ཆེན་བཞེད་དོན་ལྷུན་འགྲུབ་ཆེད་མཆོག་གསུམ་རྒྱ་མཚོའི་རྗེ་བསྐུལ་བའི་གསོལ་འདེབས་འཆི་མེད་གྲུབ་པའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགསོ།	4 ff	print	bo-Latn-x-EWTS	27 x 10	Prayers.	Buddhism--Prayers and devotions.
303	nt HUM chos sku skyed med kun tu zang	ཧཱུཾ་ཆོས་སྐུ་སྐྱེད་མེད་ཀུན་ཏུ་ཟང...	1 ff	ms	bo-Latn-x-EWTS	31 x 10	Prayers.	Buddhism--Prayers and devotions.
